Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2015-04-30 21:00:00,1.2074,1.25384,1.19196,1.24369,1.2079,1.25388,1.19199,1.24441,2790940,1.20765,1.25386,1.191975,1.24405,1.2229175,0.82066340669,0.370728332,1.06006450662,1.09476509065,1.15736900416,,,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00221735329,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.370728332,,,,,,,,0,0,1,0,3,--,0.06188499999999997
2015-05-31 21:00:00,1.24369,1.25631,1.21277,1.24883,1.24441,1.25635,1.21282,1.24991,3347410,1.24405,1.25633,1.212795,1.24937,1.2345625,0.79860286975,0.15115832659,1.06489492918,1.11050382932,1.17831320333,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00130055774,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.04353499999999988
2015-06-30 21:00:00,1.24883,1.31029,1.24752,1.30856,1.24991,1.31037,1.24756,1.30914,5729236,1.24937,1.31033,1.24754,1.30885,1.278935,0.77601728105,0.00282399083,1.07012551155,1.12872397565,1.18920006267,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00109595765,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0627899999999999
2015-07-31 21:00:00,1.30856,1.3353,1.29519,1.31393,1.30914,1.33543,1.29523,1.3141,6805565,1.30885,1.335365,1.29521,1.314015,1.3152875,0.78126442252,-0.02353947059,1.07622143374,1.1453947287,1.19594355013,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00059003183,,1.29521,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,1.0,,,,,1,0,0,0,1,+-,0.04015499999999994
2015-08-31 21:00:00,1.31393,1.34572,1.30123,1.33122,1.3141,1.34574,1.30128,1.33135,5778231,1.314015,1.34573,1.301255,1.331285,1.3234925,0.82579230984,0.06422248993,1.08733324653,1.15631382511,1.20366734011,1.34573,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00076969924,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.04447500000000004
2015-09-30 21:00:00,1.33122,1.33321,1.28321,1.30716,1.33135,1.33338,1.28323,1.30804,6432634,1.331285,1.333295,1.28322,1.3076,1.3082575,0.86598520172,0.14316467935,1.1003279968,1.16463928447,1.21872087208,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0007784525,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.05007499999999987
2015-10-31 21:00:00,1.30716,1.34357,1.30381,1.33614,1.30804,1.34362,1.30383,1.33628,4866291,1.3076,1.343595,1.30382,1.33621,1.3237075,0.90868849009,0.19562494491,1.11277122781,1.17337968641,1.23803419767,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00081735761,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,1,2,-+,0.039775000000000116
2015-11-30 22:00:00,1.33614,1.40018,1.32932,1.38273,1.33628,1.40022,1.3294,1.38335,6334698,1.33621,1.4002,1.32936,1.38304,1.36478,0.94418200382,0.2003433621,1.12200017183,1.18657410061,1.25512585813,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00111828535,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.07083999999999979
2015-12-31 22:00:00,1.38273,1.46899,1.38124,1.39671,1.38335,1.46905,1.38156,1.39749,8425189,1.38304,1.46902,1.3814,1.3971,1.42521,0.99737704309,0.22563373425,1.12976304323,1.20266327553,1.26575218651,1.46902,,1,0,1,0,1.46902,,1,0,1,0,1,0,1,0,1,0,0.00103997667,,1.3814,-1,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.08762000000000003
2016-01-31 22:00:00,1.39671,1.41026,1.34811,1.35364,1.39749,1.41034,1.34816,1.35451,9332861,1.3971,1.4103,1.348135,1.354075,1.3792175,1.0,0.14392717439,1.1378245399,1.21776692859,1.27734324921,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00066608728,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,-0.6076911986733333,,1,0,0,0,1,+-,0.062165000000000026
2016-02-29 22:00:00,1.35364,1.35513,1.28571,1.30027,1.35451,1.35534,1.28576,1.30054,7437114,1.354075,1.355235,1.285735,1.300405,1.320485,0.96691237881,0.00882630909,1.14867919068,1.22907825002,1.29483059936,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00093450228,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0694999999999999
2016-03-31 21:00:00,1.30027,1.32186,1.24983,1.25501,1.30054,1.32195,1.24983,1.25557,7835011,1.300405,1.321905,1.24983,1.25529,1.2858675,0.88888015891,-0.17901716246,1.16149521447,1.24090690627,1.32090647949,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00091990937,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.07207500000000011
2016-04-30 21:00:00,1.25501,1.3188,1.24607,1.30922,1.25557,1.31887,1.24614,1.30938,7151910,1.25529,1.318835,1.246105,1.3093,1.28247,0.76620495924,-0.39985215543,1.17395654413,1.25639104298,1.33256868359,,1.22385915,0,1,0,1,,1.22385915,0,0,0,0,0,0,0,0,0,0,0.00101693114,1.318835,,1,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.07272999999999996
2016-05-31 21:00:00,1.30922,1.3144,1.26544,1.29238,1.30938,1.31447,1.26552,1.2926,7305941,1.3093,1.314435,1.26548,1.29249,1.2899575,0.58697310006,-0.64622798847,1.18428738689,1.27749341261,1.33015194687,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00067007111,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.04895500000000008
2016-06-30 21:00:00,1.29238,1.32541,1.28313,1.30291,1.2926,1.32552,1.28321,1.30359,5954672,1.29249,1.325465,1.28317,1.30325,1.3043175,0.46781098229,-0.67849694338,1.19501201097,1.29020892353,1.3212950575,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00071028262,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.04229499999999997
2016-07-31 21:00:00,1.30291,1.32004,1.27638,1.31041,1.30359,1.32008,1.27642,1.31066,5897414,1.30325,1.32006,1.2764,1.310535,1.29823,0.40472244267,-0.55334637951,1.20807108705,1.29399343309,1.313530046,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00074032449,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.04366000000000003
2016-08-31 21:00:00,1.31041,1.32809,1.28224,1.31229,1.31066,1.32819,1.2823,1.31321,7203542,1.310535,1.32814,1.28227,1.31275,1.305205,0.38594319144,-0.34588032607,1.22477408036,1.29297769146,1.3088155368,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00063677008,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.34588032607,,,,,,,1,0,0,0,1,+-,0.04587000000000008
2016-09-30 21:00:00,1.31229,1.34333,1.3006,1.34074,1.31321,1.34344,1.30062,1.34111,6677651,1.31275,1.343385,1.30061,1.340925,1.3219975,0.38774047512,-0.14936465557,1.23665434341,1.29166423002,1.30791592944,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00064056957,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,1.0,,,,,0,0,0,1,2,-+,0.04277500000000001
2016-10-31 21:00:00,1.34074,1.35885,1.32643,1.34371,1.34111,1.35891,1.32652,1.34371,8896006,1.340925,1.35888,1.326475,1.34371,1.3426775,0.40407761804,-0.01516868155,1.24310285545,1.29145088877,1.30597874355,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00036426459,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.03240500000000002
2016-11-30 22:00:00,1.34371,1.35985,1.308,1.34348,1.34371,1.35987,1.3082,1.3441,6489778,1.34371,1.35986,1.3081,1.34379,1.33398,0.39993735902,0.00875719302,1.24639244349,1.29305921517,1.30582399484,1.35986,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00079756195,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.05176000000000003
2016-12-31 22:00:00,1.34348,1.34612,1.29684,1.30278,1.3441,1.34613,1.29691,1.30335,8564074,1.34379,1.346125,1.296875,1.303065,1.3215,0.39202529026,-0.00486785735,1.24916764015,1.29370556328,1.30905869587,,,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00057507677,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.049250000000000016
2017-01-31 22:00:00,1.30278,1.33143,1.29802,1.32995,1.30335,1.3315,1.29806,1.33037,5333028,1.303065,1.331465,1.29804,1.33016,1.3147525,0.36848397388,-0.05571346874,1.25230532167,1.29514299287,1.3157824567,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00062675463,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.033424999999999816
2017-02-28 22:00:00,1.32995,1.35349,1.32635,1.33176,1.33037,1.35354,1.32643,1.33259,5792397,1.33016,1.353515,1.32639,1.332175,1.3399525,0.34903051108,-0.08541384318,1.25630625847,1.29849980626,1.31942196536,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00046828627,,1.32639,-1,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.027125000000000066
2017-03-31 21:00:00,1.33176,1.36974,1.32232,1.36551,1.33259,1.3697,1.32236,1.36589,4232319,1.332175,1.36972,1.32234,1.3657,1.34603,0.31176196488,-0.13310451607,1.25953116166,1.30402201798,1.31983757229,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00111948083,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.04737999999999998
